id,chunk_id,paper_id,arxiv_id,paper_title,primary_category,section_name,question,ground_truth,reference_context,question_type,generator_model,generation_status,created_at
7e133011-506b-41bd-a913-0a7894bfb291,6ef72f56-e811-4886-982a-bc4c045804fa,f14e28c4-60e1-4f40-b2a2-a5ca4b556bfc,2605.08376,UIESNN: A Scale-Aware Spiking Network for Underwater Image Enhancement,cs.CV,Experiments,"Based on the experimental results on the EUVP dataset, how do the performance gains and energy costs of increasing the time steps (T) from 1 to 4 compare to those of increasing the quantisation steps (Q) from 1 to 4?","Increasing the time steps (T) from 1 to 4 yields performance gains of 3.55% in PSNR and 3.62% in SSIM at an energy cost of 52.20 mJ. In comparison, increasing the quantisation steps (Q) from 1 to 4 provides smaller gains of 0.70% in PSNR and 0.50% in SSIM, but at a lower energy cost of 43.42 mJ. This indicates that temporal integration contributes the majority of the gains for modeling underwater degradations, whereas finer quantisation offers limited improvements.","Table~ evaluates the contribution of each component using PSNR and SSIM on EUVP. Compared to the baseline (a), which involves simple spike-driven convolution and tdBN in SRB modules, adding FDB (b) yields a modest improvement, suggesting that frequency decomposition promotes more diverse temporal features. Adding MDA on top of FDB (c) further improves performance by strengthening spatio-temporal and channel interactions. With MPLB enabled, the full model achieves the best results, yielding significant gains of 6.22 % / 3.39 % (PSNR / SSIM) over (a) and 4.21 % / 2.50 % over (c). This indicates that the scale-aware representations induced by MPLB are crucial for underwater image enhancement. Tab.~ evaluates the effects of time steps ( ) and quantisation steps ( ) on EUVP. Extending the temporal horizon from to yields clear gains of 3.55 % / 3.62 % (PSNR / SSIM), showing that longer time steps facilitate temporal aggregation and better capture complex degradation patterns. Increasing from 1 to 4 provides smaller gains (0.70 % / 0.50 % ) with lower energy cost (43.42 mJ) than increasing (52.20 mJ). The full setting ( , ) performs best, improving over ( ) by 1.51 % / 0.38 % , but at much higher energy (199.33 mJ vs. 52.20 mJ). Overall, temporal integration contributes most of the gains for modeling underwater degradations in SNNs, while finer quantisation offers limited improvements at a high energy cost.",porownawcze,gemini-3.5-flash,ok,2026-05-31 19:25:07.517176
03730946-282c-46af-977a-013a4f66f817,051e0ffc-6226-4848-871c-03dd4ddc4f46,f14e28c4-60e1-4f40-b2a2-a5ca4b556bfc,2605.08376,UIESNN: A Scale-Aware Spiking Network for Underwater Image Enhancement,cs.CV,Methods,"According to the outlined methodology for static underwater image enhancement, what three techniques are integrated to build the second component, and what overall architecture and training objective are described?","The second component is constructed by integrating frequency decomposition, multi-scale spiking perception, and attention. Additionally, the methodology describes an overall encoder-decoder architecture and a multi-scale training objective.","This section presents for static underwater image enhancement. We first discuss why spiking neurons require a UIE-specific design, then introduce a () that expands the effective receptive field. Next, we build a () by integrating frequency decomposition, multi-scale spiking perception, and attention. Finally, we describe the overall encoder--decoder architecture and the multi-scale training objective.",metodologiczne,gemini-3.5-flash,ok,2026-05-31 19:25:12.983504
f2c70e71-3641-47fc-8f72-d69998691f67,a1c74ba3-7b9c-422c-9fef-ee64fc24bbcc,f14e28c4-60e1-4f40-b2a2-a5ca4b556bfc,2605.08376,UIESNN: A Scale-Aware Spiking Network for Underwater Image Enhancement,cs.CV,Methods,"What are the three components of the multi-scale loss function used to train UIESNN, and how are they mathematically combined in the final loss equation?","The final loss is defined as $L = \lambda_{con} L_{con} + \lambda_{str} L_{str} + \lambda_{freq} L_{freq}$, where the weights are set to $\lambda_{con} = 1.0$, $\lambda_{str} = 0.2$, and $\lambda_{freq} = 0.1$. The three components are: a content loss ($L_{con}$) computed as an $L_1$ loss summed over scales, a structural loss ($L_{str}$) applying an SSIM loss at each scale, and a Fourier-domain loss ($L_{freq}$) measuring the $L_1$ distance between the 2D FFT spectra of the predictions and ground truth at multiple scales.","UIESNN adopts a three-level encoder-decoder architecture composed of stacked Spiking Residual Blocks. For a static input image , we replicate it along the temporal axis to obtain for , following the multi-step spiking pipeline. A shallow overlap patch embedding layer maps the input to the feature space using a convolution in multi-step mode. The encoder contains Level 1, Level 2, and Level 3 stages with progressive downsampling. To improve robustness to diverse underwater degradations, we inject multi-scale inputs into deeper encoder stages. Specifically, at Level 2 and Level 3, we downsample the original image to the target resolution, embed it using lightweight convolutions, concatenate it with encoder features, and then compress channels with a linear projection. This provides explicit low-level references at multiple scales and helps colour and illumination correction. The decoder follows a symmetric hierarchy with fewer spiking residual blocks per level. Each level upsamples features per timestep, then fuses the corresponding encoder features via skip connections and refines them with stacked Spiking Residual Blocks. UIESNN outputs predictions at Level 3 and Level 2, and a final full-resolution result at Level 1. For each head, we temporally average features using before a final reconstruction convolution, and add the input image as a global residual to obtain the restored output. We supervise three outputs using a multi-scale loss. is the final output, and are the Level 2 and Level 3 outputs after resizing to the full resolution and adding the residual input in the forward pass. During training, we compare each prediction with the ground truth at the corresponding scale by downsampling the target and the prediction with bilinear interpolation. We define the content loss as an loss summed over scales where denotes bilinear downsampling by scale factor and is the ground truth image. We also apply an SSIM loss at each scale To explicitly regularise frequency content, we further include a Fourier-domain loss. Let denote the 2D FFT. We compute the frequency discrepancy by measuring the distance between the Fourier spectra of the prediction and the ground truth at multiple scales: The final loss is: where we set and , and . This objective jointly enforces spatial fidelity, structural consistency, and frequency alignment, which is particularly important for underwater restoration where low-frequency color and illumination shifts coexist with fine texture details.",metodologiczne,gemini-3.5-flash,ok,2026-05-31 19:25:21.985404
8b5853e2-bfaa-4d08-aa17-2d793e7cd41a,92ad6b26-f82a-456e-8407-50930d71a21b,f14e28c4-60e1-4f40-b2a2-a5ca4b556bfc,2605.08376,UIESNN: A Scale-Aware Spiking Network for Underwater Image Enhancement,cs.CV,Experiments,"According to the excerpt, how is the inference energy proxy calculated for a convolutional layer in the SNN (UIESNN) compared to an ANN, and what specific per-operation energy values are used?","The ANN energy proxy is calculated as $E_{\text{ANN}} = H \times W \times C_{\text{in}} \times C_{\text{out}} \times K^2 \times e_{\text{MAC}}$, where the per-operation cost of a multiply-accumulate (MAC) operation is $e_{\text{MAC}} = 4.6\text{pJ}$. In contrast, the SNN energy proxy replaces dense MACs with sparse accumulations (ACs) and is calculated as $E_{\text{SNN}} = H \times W \times C_{\text{in}} \times C_{\text{out}} \times K^2 \times \text{FR} \times T_{\text{eff}} \times e_{\text{AC}}$, where $\text{FR}$ is the average firing rate, $T_{\text{eff}}$ is the effective number of inference steps, and the per-operation cost of an accumulation (AC) is $e_{\text{AC}} = 0.9\text{pJ}$. The total network energy for both is reported by summing these layer-wise costs over all layers.","Unless noted otherwise, we run all comparative experiments under unified training protocols. Our UIESNN is built by stacking Spiking Residual Blocks in a stage-wise layout of . Both downsampling and upsampling are implemented with spike-driven convolutional operators to maintain a fully event-based feature transformation throughout the network. We set the virtual timestep scaling constant to and use timesteps in all experiments. During training, we crop patches of with a batch size of 12. Following~, we adopt the Sigmoid surrogate function for gradient backpropagation. All models are implemented in PyTorch and trained on a single NVIDIA A6000 GPU. We evaluate UIESNN on the widely used EUVP~ and LSUI~ benchmarks. Since official checkpoints are not publicly available for the compared SNN baselines, we strictly follow the original experimental configurations of ESDNet and VLIF to reproduce their performance on UIE. Unless specified otherwise, ablation studies are conducted on EUVP. We estimate inference energy using an operation-count proxy that is widely adopted in the SNN literature~, where the dominant cost is attributed to multiply-accumulate (MAC) operations in ANNs and spike-triggered accumulation (AC) operations in SNNs. For a convolution layer with output spatial size , input and output channels and , and kernel size , the ANN energy is proportional to the dense MAC count: In contrast, spike-driven inference replaces dense MACs with sparse accumulations that occur only when spikes arrive. We therefore scale the operation count by the average firing rate measured during inference, and by the effective number of inference steps. When integer-valued training is used and converted to binary spikes by expanding virtual steps, we denote the effective steps as . The resulting SNN energy proxy becomes: We use widely recognised per-operation costs and for MAC and AC~, respectively, and report total network energy by summing over all layers.",metodologiczne,gemini-3.5-flash,ok,2026-05-31 19:25:29.844156
73769007-be80-4957-9fc6-8a7d5192e246,e08fb9f9-7644-4597-91d9-de9bc8704410,f14e28c4-60e1-4f40-b2a2-a5ca4b556bfc,2605.08376,UIESNN: A Scale-Aware Spiking Network for Underwater Image Enhancement,cs.CV,Related Work,How does the target degradation of the proposed UIESNN differ from that of existing spiking neural networks (SNNs) applied to low-level vision tasks?,"Existing SNNs for low-level vision tasks primarily focus on image restoration addressing high-frequency degradations, such as single-image deraining. In contrast, the proposed UIESNN targets underwater image enhancement, where the degradations are predominantly low-frequency and region-level.","Spiking Neural Networks are increasingly studied as biologically plausible and energy-efficient alternatives to ANNs~, leveraging sparse event-driven spikes for low-power computation~. Most modern SNNs are built on Leaky Integrate-and-Fire neurons and are trained either by converting pre-trained ANNs into spiking counterparts~ or by direct training with surrogate gradients~. With these advances, SNNs have achieved strong performance on high-level vision tasks such as image classification. For low-level vision, only a limited number of works have explored SNNs for image restoration~, and most focus on high-frequency degradations such as single-image deraining~. In contrast, our work targets underwater image enhancement, where degradations are predominantly low-frequency and region-level, and proposes a spiking solution tailored to this distinct challenge.",porownawcze,gemini-3.5-flash,ok,2026-05-31 19:25:35.620275
5b8f7052-5806-405c-b954-c759eddeb556,8a597449-35d9-472e-85ec-bc3d148e9c75,c2da0cd8-368a-4bb5-bd2d-6f7e47def9d4,2605.08560,ZAYA1-VL-8B Technical Report,cs.CV,Training,How does the training framework prevent data leakage and cross-contamination within the Compressed Convolutional Attention (CCA) blocks when packing multiple examples or handling multi-turn QAs over a single image set?,"To prevent different packed examples from leaking into each other through sequence-dimension convolutions in the CCA blocks, the authors left-pad each packed example to enforce proper isolation. For multiple questions based on a single set of images, they place the corresponding last few vision tokens in the padding region. This ensures that the convolutional receptive field maintains continuity between image and text tokens within each QA while preventing cross-contamination between separate QAs.","to train on various formats of the grounding data in the form of referring expressions, bounding boxes and pointing. See Appendix~ for various grounding formats. In the final stage, we perform instruction tuning on 20 million curated text and multimodal samples, training end-to-end with the same chat template and attention masking as in pretraining. We introduce grounding data in the form of bounding boxes and pointing here. We use relative coordinate pixels in 0-1000 range for bounding boxes and pointing in this new format, while maintaining 0-100 range (with 1 decimal point) for the xml format to be consistent with our pretraining stage. This is not a bad choice as there is no difference between the significant digits in these two formats and model learns to place a decimal point between the second and third digits when prompted for xml format. See Appendix~ for examples of grounding formats. Across both pretraining and SFT stages, we apply loss masking such that the cross-entropy loss is computed only over answer tokens, with images and questions treated purely as conditioning context. While this scheme implicitly assigns greater weight to longer responses, we find it preferable in practice; in particular, it yields better performance than alternatives that include question or context tokens in the loss. Our training corpus comprises a heterogeneous mixture of datasets with substantial variation in sequence lengths, making naive padding prohibitively inefficient. We therefore pack multiple examples into fixed-length sequences, using the document- and conversation-level attention masking described in Sec.~, implemented efficiently via FlexAttention~. For conversation masking specifically, we apply it stochastically rather than universally. Full conversation masking showed no consistent benefit in our evaluations, and allowing later turns to attend to earlier ones is generally useful for learning multi-turn reasoning over a shared set of images. We therefore apply conversation masking with probability 50 %. An exception is made for grounding data, where earlier turns can inadvertently leak answer-relevant information (such as object counts or locations expressed across different response formats) so we raise the masking probability to 70 % in those cases. Packing introduces an additional complication due to the 1D causal convolution layers in the Compressed Convolutional Attention (CCA)~ blocks of our LLM. We first note that in CCA, q and k vectors reside in a compressed latent space, but to retain the representability and performance, one performs convolutions both in sequence and channel dimensions (for more details, see~). The convolutions in the sequence length are very short range, however for a packed sequence, one should be cautious about different examples leaking into each other through such convolutions; in particular, document boundaries must be respected not only in attention but also in the convolutional receptive field. We address this by left-padding each packed example to enforce proper isolation (Fig.~(a)). The situation is a bit different for multiple questions based on a single set of images, when we impose conversation masking for later conversations (or QAs) of the same example. In this case, to ensure that each image-question pair is treated as if the question sees the context image independently, we place the corresponding last few vision tokens in the padding region (Fig.~(b)). This ensures that the convolutional receptive field maintains continuity between image and text tokens within each QA while preventing cross-contamination between separate QAs. Since the loss is computed only over answer tokens, which constitute a small fraction of the total sequence, the effective batch size in terms of gradient signal is much smaller than in equivalent LLM training. This problem is further accentuated by MoE architectures, where each batch is split across many experts, reducing the number of loss tokens seen by any individual expert. To ensure sufficient gradient signal, we",metodologiczne,gemini-3.5-flash,ok,2026-05-31 19:25:52.177768
6d314062-8dd5-49d9-8d77-a2d479290bd7,59158f35-4b4d-4c00-b970-9ab499ffb00e,c2da0cd8-368a-4bb5-bd2d-6f7e47def9d4,2605.08560,ZAYA1-VL-8B Technical Report,cs.CV,Related Work,How do the token routing approaches of native multimodal models like NaViL and Mono-InternVL differ from traditional Mixture of Experts (MoE) architectures?,"NaViL and Mono-InternVL employ modality-specific feed-forward layers that route vision and text tokens through dedicated MLPs instead of a shared network. Unlike traditional MoE architectures, these models route tokens without using a trainable router.","VLMs are typically designed for a diverse range of tasks and need to be scaled adequately to have sufficient capacity to represent the key features in their datasets. One approach to scaling LLMs while keeping the active compute under control is MoE. The idea is to introduce input dependent conditional computation route such that only a fraction of model weights are active per input. MoE architectures have been successfully implemented for LLMs from switch transformer to more recent models like Mixtral~ and DeepSeekMoE~. In large-scale LLMs, MoE models have become ubiquitous due to their compelling flop-efficiency in both inference and, to a lesser extent, in training . In the context of VLMs, MoE-LLaVA explored a strategy for adopting MoE to VLMs and preventing model degradation caused by sparsity, showing competitive performance with models that activate more parameters per token. DeepSeek-VL2 leveraged DeepSeekMoE models of various sizes, achieving competitive performance with similar or smaller activated parameters compared to existing open-source dense models. Qwen3-VL also released two MoE VLM variants in addition to four dense models. The issue of MoE in the vision encoder is analyzed in ViMoE , where the authors leveraged shared experts to address unreliable routing and enable capture of common knowledge. Separately, recent native multimodal models such as NaViL and Mono-InternVL employ modality-specific feed-forward layers, routing vision and text tokens through dedicated MLPs rather than a shared network, though without a trainable router as in MoE architectures. Our ZAYA1-VL-8B model also demonstrates the compelling advantages of MoE in VLMs, where we find that the benefits of MoEs in language seamlessly transfer to VLM tasks.",porownawcze,gemini-3.5-flash,ok,2026-05-31 19:25:59.429365
f8b9a16f-cbfc-49e4-9547-af82fd5b4367,8fdab6b8-3cb4-4655-a7f4-8eaafe044843,c2da0cd8-368a-4bb5-bd2d-6f7e47def9d4,2605.08560,ZAYA1-VL-8B Technical Report,cs.CV,Evaluation,"How does ZAYA1-VL-8B compare to MolmoE-8B-A1B on the PointArena benchmark, and what specific sub-category scores highlight their complementary strengths?","ZAYA1-VL-8B matches MolmoE-8B-A1B's overall average score of 58.0 on the PointArena benchmark. ZAYA1-VL-8B demonstrates superior performance in the Spatial (61.5 vs. 57.4), Steerability (44.0 vs. 39.0), and Counting (53.1 vs. 52.6) sub-categories. Conversely, MolmoE-8B-A1B shows greater strength in the Affordance category and is marginally better in the Reasoning category.","We first evaluate grounding on PointArena~, specifically its evaluation, which probes language-guided pointing across five categories: Affordance, which tests fine-grained tool and object identification ( , ``point to the object you would use to open the bottle''); Spatial, which requires understanding positional relationships between objects; Reasoning, which involves complex visual inference to identify a target; Steerability, which evaluates the model's ability to follow directional or contextual cues relative to a reference point; and Counting, which requires enumerating object instances via point-based annotations. Unlike standard VQA-style benchmarks, PointArena requires the model to localize its answer as a precise point in the image rather than producing a text-only response, making it a stricter test of spatial grounding and visual understanding. We provide the prompting strategy used for this evaluation along with representative sample responses in Appendix~ (Figs.~ and ). As shown in Table~, ZAYA1-VL-8B achieves an average score of 58.0, matching MolmoE-8B-A1B. The two models exhibit complementary strengths: ZAYA1-VL-8B performs better on Spatial (61.5 vs. 57.4), Steerability (44.0 vs. 39.0), and slightly on Counting (53.1 vs. 52.6), whereas MolmoE is stronger on Affordance and marginally better on Reasoning. This pattern suggests that our model is particularly effective on tasks requiring fine-grained spatial control and relative pointing, likely benefiting from the grounding data introduced during embedding expansion and instruction tuning (Sec.~). Compared with dense baselines at smaller scales, ZAYA1-VL-8B outperforms Qwen3-VL-2B, Qwen3.5-2B, and Qwen2.5-VL-3B, and is also slightly ahead of the larger Qwen2.5-VL-7B in overall average. At the same time, larger grounding-oriented dense models such as Molmo2-4B and Qwen3-VL-4B still maintain a clear advantage, indicating that pointing-based grounding continues to benefit from additional model capacity and more extensive grounding-focused training data ( , the large-scale spatio-temporal pointing and tracking datasets introduced in~ and the human-labeled video grounding data in~).",porownawcze,gemini-3.5-flash,ok,2026-05-31 19:26:05.426484
1fb07645-a4e7-4012-a8d8-6a858b4f83e3,e70ca325-af8a-4485-8f7f-5d8d5e5497cc,c2da0cd8-368a-4bb5-bd2d-6f7e47def9d4,2605.08560,ZAYA1-VL-8B Technical Report,cs.CV,Training,"Which optimizers are selected for the LLM parameters, ViT parameters, and the vision adapter in ZAYA1-VL-8B, and what are the reasons for each choice?","The LLM parameters are trained using the Muon optimizer to maintain optimizer continuity with the base model's pretraining. The ViT parameters are trained with AdamW to match the optimizer used during its original pretraining. For the vision adapter, Muon is selected because ablation results demonstrate it achieves marginally lower validation loss than AdamW during the alignment stage.","is treated as if the question sees the context image independently, we place the corresponding last few vision tokens in the padding region (Fig.~(b)). This ensures that the convolutional receptive field maintains continuity between image and text tokens within each QA while preventing cross-contamination between separate QAs. Since the loss is computed only over answer tokens, which constitute a small fraction of the total sequence, the effective batch size in terms of gradient signal is much smaller than in equivalent LLM training. This problem is further accentuated by MoE architectures, where each batch is split across many experts, reducing the number of loss tokens seen by any individual expert. To ensure sufficient gradient signal, we target a minimum of 30k loss tokens per MLP expert per update, which necessitates both a substantially larger batch size than is typical and the use of gradient accumulation. However, even with packing, the number of loss-bearing tokens can vary significantly across devices and microbatches under gradient accumulation. To handle this, rather than normalizing the loss per step, we accumulate the total loss across microbatches and normalize by the total number of answer tokens at each parameter update. Throughout training, we use the Muon optimizer~ for all LLM parameters, consistent with the optimizer used during the base model's pretraining and following the recommendation of~ to maintain optimizer continuity. The ViT parameters are trained with AdamW to match the optimizer used during its original pretraining. For the vision adapter, which is initialized from scratch, we also adopt Muon based on our ablation results (Section~), which show it achieves marginally lower validation loss than AdamW during the alignment stage (see Fig.~(b)).",porownawcze,gemini-3.5-flash,ok,2026-05-31 19:26:12.697980
db66ce05-f0f6-4483-9d1b-8eda653dc0f4,090e8f2a-ff5b-449a-9da9-5e84f6e6363c,c2da0cd8-368a-4bb5-bd2d-6f7e47def9d4,2605.08560,ZAYA1-VL-8B Technical Report,cs.CV,Related Work,"In the described vision-language modeling paradigm, how are the weights of the vision encoder and connector typically initialized, and how is the training loss adjusted to prevent the model from generating vision tokens?","The vision encoder is typically loaded with pretrained weights, while the connector is newly initialized for each LLM and trained alongside it. To prevent the model from generating vision tokens, they are masked out from the loss function during autoregressive training. Consequently, the model is only optimized to output text tokens given the interleaved set of vision and input text tokens.","The vision language modeling with a vision encoder and an LLM backbone is usually formulated within the same basic paradigm as language modeling. There is a stream of tokens and the model autoregressively predicts these tokens in the standard way. The only difference is some tokens are vision tokens while others remain text. The VLM only generates text tokens. We focus on transformer-based architectures that concatenate, or more generally interleave, vision tokens with input text tokens. Raw vision inputs are processed by a vision encoder , typically a transformer-based architecture followed by a connector module such as an MLP, to produce vision tokens aligned to the language embedding space, where the upper index ranges over different raw visual inputs such as images and videos, the index ranges over the resulting tokens, and denotes the combined parameters of the vision encoder and connector. The connector may also compress the token sequence before it is fed to the LLM. In practice, the vision encoder is typically loaded with pretrained weights, while the connector is newly initialized for each LLM and trained alongside it. For VLMs the language modeling task is that the model must output text tokens given an interleaved set of vision tokens and prompt text tokens as input. Unlike in regular LLM autoregression where there is only one type of token, in VLMs the model is not expected to generate vision tokens and this is achieved by masking out the vision tokens from the loss. Mathematically, this autoregressive objective can be written as, where represent all vision tokens and we have omitted the superscript index from Eq.~(), represent input text tokens, and represents output text tokens which are available as ground truth during supervised fine tuning or instruction tuning, and are the parameters of an LLM. The overall learning objective is, therefore, where the dependence on the vision encoder and connector parameters, arise through the vision tokens .",metodologiczne,gemini-3.5-flash,ok,2026-05-31 19:26:19.148140
